dimension,kind,scope,n_units,h1_entropy_bits,h2_entropy_bits,judge_entropy_bits,h1_applicable_rate,judge_applicable_rate,hh_applicability_raw,hh_rating_raw,hh_rating_n,jh2_rating_raw,hh_kappa,hh_ac2,jh1_kappa,jh1_ac2,jh2_kappa,jh2_ac2,contrast_delta,contrast_p,derived_measure,classification,rationale
error_detection,partial_credit,local,76,0.914,0.831,0.998,0.329,0.474,0.566,1.0,24,1.0,0.253,0.135,0.652,0.671,0.332,0.345,0.0476,1.0,,VALIDATED_CORE,reference labels vary and judge tracks the humans; the available contrast does not exercise this construct
error_reasoning,partial_credit,local,76,0.914,0.949,0.998,0.329,0.474,0.908,1.0,23,1.0,0.798,0.831,0.652,0.671,0.733,0.743,0.3333,0.0001,,VALIDATED_CORE,"reference labels vary, judge tracks the humans, and it separates the planted contrast"
error_localisation,partial_credit,local,76,0.914,0.831,1.085,0.329,0.474,0.566,1.0,24,0.97,0.253,0.135,0.628,0.757,0.32,0.531,0.3333,0.0001,,VALIDATED_CORE,"reference labels vary, judge tracks the humans, and it separates the planted contrast"
solution_control,partial_credit,local,76,0.689,1.953,0.24,1.0,1.0,0.671,0.275,51,0.235,0.019,-0.021,-0.07,0.721,-0.01,-0.05,0.0595,0.2399,,EXPLORATORY_NOT_RETAINED,corpus exercises it but two annotators do not reproduce one another and the judge does not track them
scaffolding_quality,partial_credit,topic,37,0.8,1.884,0.179,1.0,1.0,0.757,0.536,28,0.5,0.056,0.346,0.159,0.718,0.0,0.35,0.2741,0.0001,,VALIDATED_CORE,"reference labels vary, judge tracks the humans, and it separates the planted contrast"
actionability_moving_forward,partial_credit,local,76,0.176,1.484,0.24,1.0,1.0,1.0,0.184,76,0.211,-0.012,-0.236,-0.033,0.93,0.012,-0.209,0.2031,0.0002,,SUPPORTED_WITH_LIMITATION,separates the planted contrast (p=0.0002); human reference labels nearly constant (0.176 bits); two annotators do not reproduce one another (AC2 -0.236)
local_coherence_relevance,partial_credit,local,76,0.101,0.101,0.0,1.0,1.0,1.0,0.974,76,0.987,-0.009,0.98,0.0,0.987,0.0,0.987,0.0278,0.2417,,UNINFORMATIVE_ON_CURRENT_CORPUS,reference labels almost constant and it does not separate the planted contrast
clarity_cognitive_load,partial_credit,local,76,0.176,0.695,0.485,1.0,1.0,1.0,0.816,76,0.75,-0.044,0.885,0.165,0.88,-0.028,0.845,0.1031,0.0441,passes,SUPPORTED_WITH_LIMITATION,separates the planted contrast (p=0.0441); human reference labels nearly constant (0.176 bits)
student_level_calibration,partial_credit,topic,37,0.0,1.531,0.494,1.0,1.0,0.865,0.625,32,0.625,0.0,0.616,0.0,0.88,0.078,0.619,0.2541,0.0004,partial,SUPPORTED_WITH_LIMITATION,separates the planted contrast (p=0.0004); human reference labels nearly constant (0.000 bits)
proactive_clarification,partial_credit,local,76,0.0,0.0,0.101,0.0,0.013,1.0,,0,,,,0.0,0.987,0.0,0.987,1.0,0.3287,passes,UNINFORMATIVE_ON_CURRENT_CORPUS,reference labels almost constant and it does not separate the planted contrast
curriculum_hallucination_present,trust_flag,local,76,0.176,0.0,0.0,1.0,1.0,1.0,0.974,76,1.0,0.0,0.973,0.0,0.973,,,,,,FAILED_VALIDATION,judge never raises it on any scored unit (judge entropy 0.000) while the human sometimes does
student_context_hallucination_present,trust_flag,topic,37,0.0,0.0,0.0,1.0,1.0,1.0,1.0,37,1.0,,,,,,,,,,FAILED_VALIDATION,judge never raises it on any scored unit (judge entropy 0.000) while the human sometimes does
domain_knowledge_hallucination_present,trust_flag,local,76,0.24,0.0,0.0,1.0,1.0,1.0,0.961,76,1.0,0.0,0.959,0.0,0.959,,,,,,FAILED_VALIDATION,judge never raises it on any scored unit (judge entropy 0.000) while the human sometimes does
